snapshot_date,total_value_pln,cash_pln,invested_pln,open_positions,exposure_pct
2020-02-20,1034796.73,574488.57,460308.16,15,44.482954637864
2020-02-21,1028411.07,473326.11,555084.96,18,53.97500826201724
2020-02-24,1003422.76,817998.61,185424.16,6,18.47916624892981
2020-02-25,990422.21,839908.81,150513.4,5,15.196892646419954
2020-02-26,987895.04,481219.65,506675.4,17,51.28838383478471
2020-02-27,964091.2,845316.33,118774.86,4,12.319878036434728
2020-02-28,953685.8,635535.7,318150.1,11,33.360054223309184
2020-03-02,970710.19,797485.98,173224.21,6,17.845100606186076
2020-03-03,980341.7,951731.15,28610.55,1,2.9184262997279418
2020-03-04,983111.44,953701.19,29410.24,1,2.991546919645244
2020-03-05,982846.0,776475.68,206370.31,7,20.99721726496318
2020-03-06,982732.06,805771.99,176960.07,6,18.00694993099136
2020-03-09,967657.56,938175.58,29481.98,1,3.046736905563989
2020-03-10,967657.56,938175.58,29481.98,1,3.046736905563989
2020-03-11,967657.56,938175.58,29481.98,1,3.046736905563989
2020-03-12,966903.85,966903.85,0.0,0,0.0
2020-03-13,966903.85,966903.85,0.0,0,0.0
2020-03-16,966860.34,937853.23,29007.11,1,3.0001344351346546
2020-03-17,966918.25,966918.25,0.0,0,0.0
2020-03-18,966874.74,937867.17,29007.57,1,3.000137329060846
2020-03-19,966932.64,966932.64,0.0,0,0.0
2020-03-20,966932.64,966932.64,0.0,0,0.0
2020-03-23,966932.64,966932.64,0.0,0,0.0
2020-03-24,966932.64,966932.64,0.0,0,0.0
2020-03-25,966932.64,966932.64,0.0,0,0.0
2020-03-26,966932.64,966932.64,0.0,0,0.0
2020-03-27,966932.64,966932.64,0.0,0,0.0
2020-03-30,966932.64,966932.64,0.0,0,0.0
2020-03-31,966932.64,966932.64,0.0,0,0.0
2020-04-01,966932.64,966932.64,0.0,0,0.0
2020-04-02,966932.64,966932.64,0.0,0,0.0
2020-04-03,966932.64,966932.64,0.0,0,0.0
2020-04-06,966932.64,966932.64,0.0,0,0.0
2020-04-07,966932.64,966932.64,0.0,0,0.0
2020-04-08,966932.64,966932.64,0.0,0,0.0
2020-04-09,966932.64,966932.64,0.0,0,0.0
2020-04-10,966932.64,966932.64,0.0,0,0.0
2020-04-13,966932.64,966932.64,0.0,0,0.0
2020-04-14,966932.64,966932.64,0.0,0,0.0
2020-04-15,966845.62,908829.69,58015.93,2,6.000537086779169
2020-04-16,966845.62,908829.69,58015.93,2,6.000537086779169
2020-04-17,967975.75,938967.8,29007.94,1,2.996763090397667
2020-04-20,967975.75,938967.8,29007.94,1,2.996763090397667
2020-04-21,968889.28,968889.28,0.0,0,0.0
2020-04-22,968889.28,968889.28,0.0,0,0.0
2020-04-23,968889.28,968889.28,0.0,0,0.0
2020-04-24,968889.28,968889.28,0.0,0,0.0
2020-04-27,968889.28,968889.28,0.0,0,0.0
2020-04-28,968889.28,968889.28,0.0,0,0.0
2020-04-29,968889.28,968889.28,0.0,0,0.0
2020-04-30,968889.28,968889.28,0.0,0,0.0
2020-05-01,968469.01,968469.01,0.0,0,0.0
2020-05-04,968425.43,939371.38,29054.05,1,3.0001329064644655
2020-05-05,968425.43,939371.38,29054.05,1,3.0001329064644655
2020-05-06,968425.43,939371.38,29054.05,1,3.0001329064644655
2020-05-07,968425.43,939371.38,29054.05,1,3.0001329064644655
2020-05-08,968425.43,939371.38,29054.05,1,3.0001329064644655
2020-05-11,968425.43,939371.38,29054.05,1,3.0001329064644655
2020-05-12,968425.43,939371.38,29054.05,1,3.0001329064644655
2020-05-13,968425.43,939371.38,29054.05,1,3.0001329064644655
